Title,Date
"Kaguya-sama: Love Is War: Miyuki Shirogane Wants to Work/Kaguya Wants Him to Join In/Kaguya Wants to Control It","09/02/23"
"Kaguya-sama: Love Is War: Yu Ishigami Wants to Live/Chika Fujiwara Wants to Test You/Kaguya Wants to Be Noticed","09/02/23"
"Kaguya-sama: Love Is War: Kaguya Wants to Handle It/Miyuki Shirogane Wants to Show Off/Kaguya Wants to Be Covered","09/02/23"
"Kaguya-sama: Love Is War: Kaguya Wants Affection/The Student Council Wants It to Be Said/Kaguya Wants Him to Send It/Miyuki Shirogane Wants to Talk","09/02/23"
"Kaguya-sama: Love Is War: Miyuki Shirogane Still Hasn't Done It/Kaguya Wants to Be Figured Out/Kaguya Wants to Walk","09/02/23"
"Kaguya-sama: Love Is War: Kaguya Wants to Trade/Chika Wants to Go Somewhere/Miyuki Wants to Hide His Ignorance","09/02/23"
"Kaguya-sama: Love Is War: I Will Make You Invite Me to a Movie/Kaguya Wants to Be Stopped/Kaguya Wants It","09/02/23"
"Class: Episode 1","05/02/23"
"The Interest of Love: Episode 14","03/02/23"
"The Interest of Love: Episode 13","02/02/23"
"Parasyte: The Maxim: The Devil in the Flesh","30/01/23"
"Ajeeb Daastaans","30/01/23"
"18 Again: Episode 6","30/01/23"
"Tune in for Love","30/01/23"
"DEATH NOTE: Death Note: Ally","30/01/23"
"Search WWW: Episode 1","29/01/23"
"DEATH NOTE: Death Note: Execution","29/01/23"
"DEATH NOTE: Death Note: Decision","29/01/23"
"DEATH NOTE: Death Note: Wager","29/01/23"
"DEATH NOTE: Death Note: Friend","29/01/23"
"DEATH NOTE: Death Note: Confession","28/01/23"
"DEATH NOTE: Death Note: Love","28/01/23"
"DEATH NOTE: Death Note: Assault","28/01/23"
"DEATH NOTE: Death Note: Doubt","28/01/23"
"DEATH NOTE: Death Note: Encounter","28/01/23"
"DEATH NOTE: Death Note: Glare","28/01/23"
"DEATH NOTE: Death Note: Overcast","28/01/23"
"DEATH NOTE: Death Note: Unraveling","28/01/23"
"DEATH NOTE: Death Note: Tactics","28/01/23"
"DEATH NOTE: Death Note: Pursuit","28/01/23"
"DEATH NOTE: Death Note: Dealings","28/01/23"
"DEATH NOTE: Death Note: Confrontation","28/01/23"
"DEATH NOTE: Death Note: Rebirth","28/01/23"
"An Action Hero","27/01/23"
"The Interest of Love: Episode 12","27/01/23"
"The Interest of Love: Episode 11","27/01/23"
"Trolley: Prelude","26/01/23"
"Little Women: Episode 12","26/01/23"
"Little Women: Episode 4","26/01/23"
"Little Women: Episode 3","26/01/23"
"Little Women: Episode 2","26/01/23"
"Little Women: Episode 1","26/01/23"
"The Irregular at Magic High School: Reminiscence Arc: Episode 1","26/01/23"
"The Irregular at Magic High School: Visitor Arc: Episode 13","26/01/23"
"The Irregular at Magic High School: Visitor Arc: Episode 12","26/01/23"
"The Irregular at Magic High School: Visitor Arc: Episode 11","25/01/23"
"The Irregular at Magic High School: Visitor Arc: Episode 10","25/01/23"
"The Irregular at Magic High School: Visitor Arc: Episode 9","25/01/23"
"The Irregular at Magic High School: Visitor Arc: Episode 8","25/01/23"
"The Irregular at Magic High School: Visitor Arc: Episode 7","25/01/23"
"The Irregular at Magic High School: Visitor Arc: Episode 6","25/01/23"
"The Irregular at Magic High School: Visitor Arc: Episode 5","25/01/23"
"The Irregular at Magic High School: Visitor Arc: Episode 4","25/01/23"
"The Irregular at Magic High School: Visitor Arc: Episode 3","25/01/23"
"The Irregular at Magic High School: Visitor Arc: Episode 2","25/01/23"
"The Irregular at Magic High School: Visitor Arc: Episode 1","25/01/23"
"The Irregular at Magic High School: Yokohama Disturbance Part 8","25/01/23"
"The Irregular at Magic High School: Yokohama Disturbance Part 7","25/01/23"
"The Irregular at Magic High School: Yokohama Disturbance Part 6","25/01/23"
"The Irregular at Magic High School: Yokohama Disturbance Part 5","25/01/23"
